"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G79700",132.402896795835,-2.60948209287235,0.751374896687601,-3.47294287362557,0.00051478491442824,0.00387689053430802
"AT1G80870",171.880795451056,-2.70286887947807,0.979006947862962,-2.7608270660163,0.00576551963944471,0.0300096071474768
"AT1G29260",128.854270494747,-2.31430453748111,0.748085536818699,-3.0936362535799,0.0019771973894957,0.0122683304402647
"AT1G09210",552.537750339578,-1.12573081008816,0.319379816455334,-3.5247399869603,0.000423898648469436,0.00331256282553938
"AT1G04640",90.0995448360484,-2.5594956193712,0.679457620744276,-3.76696874275623,0.000165241680102071,0.0014512313113496
"AT1G57860",111.864719937947,-1.64692918362984,0.617159417836176,-2.66856364179638,0.00761763452904391,0.0375012084266395
"AT1G36370",248.74471294701,-1.34740188889985,0.487793949347399,-2.76223575692664,0.00574070093831823,0.0299072000496256
"AT1G12450",85.3670253241599,-2.3983974570099,0.674572225298358,-3.55543464000331,0.000377354748234652,0.00301779987102651
"AT1G55960",174.377961714749,-3.10490095759226,0.910683553149492,-3.40941806498462,0.00065101630340088,0.00471513916081162
"AT1G04550",135.03459094648,-1.54134009040028,0.540639512477439,-2.85095716244861,0.00435878413231398,0.0239300953213159
"AT1G69400",16.8614546192719,-6.68975752566284,1.84112923285503,-3.63350785283501,0.000279593933477575,0.00232554954111391
"AT1G79110",437.930488995343,-2.00565711245392,0.345346771266443,-5.80766139813279,6.33514719297367e-09,1.15825615660217e-07
"AT1G68490",484.823593272031,-1.02834393804553,0.331058975409218,-3.10622582207416,0.00189491944049433,0.0118463028247678
"AT1G60870",338.219806230086,-1.11290020574703,0.362071124638858,-3.07370604838228,0.00211417634366818,0.0129934685645738
"AT1G69870",465.230423578792,-1.69796217196189,0.552187004154252,-3.07497670026215,0.0021051899904994,0.0129519307986916
"AT1G18610",45.0494559272275,-3.64317329266168,1.0920291961789,-3.33615008225918,0.000849472913553803,0.00590063980812642
"AT1G13640",193.922229550568,-2.33703544444149,0.602934119253262,-3.87610415435756,0.000106142263766924,0.000981098762386163
"AT1G68710",325.721402407032,-1.41618021242609,0.424597067967559,-3.33535089915951,0.000851918251491707,0.00591056409805821
"AT1G32990",423.853492481722,-1.03655746192222,0.367934190824185,-2.81723603778244,0.00484389127510322,0.0259561141690784
"AT1G25480",21.406155232791,-5.71850972500053,1.72141447125786,-3.3219830671122,0.000893801178057515,0.00614695916699624
"AT1G62520",24.8744981680161,-5.93041888657985,1.57313787799064,-3.76980236096963,0.000163376872426656,0.00143702441193431
"AT1G11430",266.437341241851,-1.04343062662525,0.398714790904263,-2.61698499887303,0.0088710239814567,0.0425671186336838
"AT1G34430",444.307987929607,-1.17670219309518,0.388009157081358,-3.03266603795243,0.00242403702301813,0.0144993325636085
"AT1G04770",45.8192691073639,-2.9575216267033,1.10150988749698,-2.68497056655918,0.00725361937633393,0.0361375690265685
"AT1G09240",39.8013214252847,-8.81132635811556,1.56129386693203,-5.64360531014574,1.66525588133379e-08,2.89008886390288e-07
"AT1G74720",368.348600899157,-1.04449037739869,0.380319279766786,-2.7463513762415,0.00602621832290883,0.0310331561819238
"AT1G03120",9.93292183288968,-6.81094527504621,2.3856959563304,-2.85490917523395,0.00430491380813894,0.0237014856823104
"AT1G66200",855.00318454906,-1.53451609173329,0.435052998805831,-3.52719345906213,0.00041998977063643,0.00328643408678359
"AT1G70940",671.873677847825,-1.01640609735554,0.340775732567092,-2.98262464201564,0.00285788253867815,0.0167328590935295
"AT1G52618",18.2631329278733,-7.68524840384907,2.22920192173131,-3.44753354504571,0.000565730149605747,0.00419000648383161
"AT1G16080",303.927887676144,-1.66048468952248,0.534864088558837,-3.10449836704605,0.00190601979866298,0.0119028991508341
"AT1G71970",49.6873927182691,-3.12213113421394,1.13676139477317,-2.74651404293768,0.00602323073710132,0.0310331561819238
"AT1G78090",57.4769050825267,-3.6170599951572,1.26061752868834,-2.86927629740379,0.00411412239098368,0.0228457570020813
"AT1G11220",9.26689341519482,-5.83970628931697,2.28554055932659,-2.55506570009747,0.0106167756626082,0.0494023591089025
"AT1G27170",11.7448887549313,-5.27425246934052,1.90215466965465,-2.77277792047168,0.00555800367152388,0.0291119219335494
"AT1G65320",126.468036302608,-1.43983485440713,0.533113144321057,-2.7008053913974,0.00691717998307181,0.0348472693694215
"AT1G25230",568.094270264719,-1.18106211511929,0.344174508708693,-3.43157928677087,0.000600077689228117,0.00440511576410641
"AT1G67840",274.636737732586,-1.60888825061346,0.524804038856941,-3.06569334740208,0.00217165917091764,0.0132977623584744
"AT1G18450",162.149462177577,-1.58249626298626,0.550337072926545,-2.87550365191822,0.0040338347928477,0.0225074044967529
"AT1G27510",216.456486451519,-1.68500105981539,0.559322350435727,-3.01257594748846,0.00259040608690673,0.0153994079644946
"AT1G56710",16.477616674536,-7.5420381985639,2.48870929500868,-3.03050188050895,0.00244147666671204,0.0145736605136179
"AT1G69970",180.736939981173,-1.59367344639756,0.532290735189774,-2.9939905789068,0.0027535444673043,0.0162694182244992
"AT1G78020",1492.11991356493,-2.12524602021475,0.330961174115122,-6.4214360669252,1.34994708755269e-10,2.98425565286363e-09
"AT1G21600",680.858272438683,-1.20959437341828,0.374446881530888,-3.23034970533865,0.001236388892699,0.00818720389766741
"AT1G73640",12.6929697701711,-7.16017072782463,2.71582555276524,-2.63646194820362,0.00837755956474556,0.0405217398580954
"AT1G55675",77.8794813657845,-3.51552868969761,1.22617503607674,-2.8670692081172,0.00414292403604742,0.0229618306440226
"AT1G78290",15.4075741084796,-6.33912890028611,1.89428298821649,-3.34645295329106,0.000818525681504027,0.00575442359403194
"AT1G33810",136.224527694918,-1.94582503244296,0.510503326302523,-3.81158149651286,0.000138080515143497,0.00123128852000658
"AT1G19600",99.5062007308226,-1.66830951282551,0.585388718827223,-2.84991742951218,0.00437305801877688,0.02396717935836
"AT1G14720",371.723614423868,-1.93033324494423,0.42276777875981,-4.56594220734339,4.97255760337135e-06,6.25767313982706e-05
"AT1G30545",22.8327321996455,-3.62230907139015,1.31758832966986,-2.74919638389463,0.0059741580966829,0.0308631497895142
"AT1G07050",180.289423536997,-1.75164513047112,0.481371491354878,-3.6388634597801,0.000273843935469846,0.00228098659143508
"AT1G56210",137.092005273184,-2.33608626476975,0.622275974227883,-3.75410004808294,0.000173965373698445,0.00151639382711059
"AT1G76100",396.492587638056,-1.44088547321386,0.321355446081285,-4.48377486918146,7.33340325275823e-06,8.97608558137607e-05
"AT1G77400",14.3422383675254,-6.22429974834784,1.93681795602489,-3.21367309146727,0.00131048783645125,0.00864254603773337
"AT1G44170",148.276518528651,-1.62781328270777,0.572426828888851,-2.8437054319546,0.00445922527093911,0.0243028740332123
"AT1G72630",101.964075900847,-2.95777891525669,0.70623078185841,-4.18811950885722,2.81275397688e-05,0.000300061497643676
"AT1G03540",25.4892246072471,-5.11479000937672,1.38082508461282,-3.70415490446488,0.000212096628000932,0.00181877550914074
"AT1G76310",71.5916979774954,-3.85543534111537,1.11437143237167,-3.45973992971985,0.000540697334782358,0.00403027474926235
"AT1G51570",725.000578141642,-1.06201128503582,0.310732611013035,-3.41776578124035,0.000631374149884503,0.00459425445235106
"AT1G52880",27.1246525219498,-3.83713825886282,1.46551975274023,-2.61827808986411,0.00883747513928187,0.0425340070031331
"AT1G78100",165.410771034463,-2.24980935041656,0.550825491066318,-4.08443216028594,4.41847323060046e-05,0.000450684269521247
"AT1G12780",846.55171673301,-1.20759944097655,0.291749431770805,-4.13916638550724,3.48570086261775e-05,0.000365150717392064
"AT1G74730",150.134462900145,-1.89266851834801,0.703559692368495,-2.69013210801836,0.00714237381677596,0.0357672363227695
"AT1G01225",13.0160340549465,-7.20259669290872,2.2546325835917,-3.19457668860385,0.00140036074544839,0.00915826476269619
"AT1G07440",123.401804939292,-2.75213641214714,0.693922261363822,-3.96605868608126,7.30708782434451e-05,0.000706878679047237
"AT1G21410",31.4531775231698,-3.29722979823298,1.26260724368363,-2.61144533640832,0.00901604004027667,0.0431434212297683
"AT1G29980",65.4960381308251,-2.11001395168379,0.787231116126277,-2.68029795629335,0.0073556654212431,0.0364896235145968
"AT1G69040",363.24642949226,-2.03276433938701,0.481759512615688,-4.21945864306908,2.4488963877385e-05,0.000264644676548544
"AT1G75340",114.632802125874,-2.73127397058043,0.628552980989618,-4.34533611833358,1.39062561425438e-05,0.000161699896199049
"AT1G80690",161.756325630689,-4.53817064890532,1.01933386425605,-4.4520944589803,8.50367405618028e-06,0.000102360995781847
"AT1G08400",20.8492182514827,-3.20840287623733,1.2015274403187,-2.67027016493798,0.00757902382990619,0.0374038962358816
"AT1G61240",118.29704946498,-1.94170238252115,0.664857376257244,-2.92047956728974,0.00349493114317901,0.0199974365469423
"AT1G48230",134.225124956807,-1.39033971954977,0.518140884036173,-2.68332371056962,0.00728943949487937,0.0362538932619578
"AT1G29840",13.8541562439912,-7.29308367496172,2.3229104928672,-3.13963180990231,0.00169160295236503,0.0107134853649786
"AT1G35460",110.946676606755,-2.22151443414989,0.789387108662157,-2.8142268980233,0.00488947035943016,0.0261281072332049
"AT1G54650",26.6432465316649,-5.48858019661518,1.58862360870445,-3.45492800594297,0.000550439782276465,0.00408717355575398
"AT1G09280",65.1376207804202,-2.0021893071559,0.722605924275724,-2.77079005290846,0.00559204700680522,0.0292638715549645
"AT1G17090",19.3626983835589,-6.32053393426745,1.72280528815923,-3.66874537575908,0.000243743685427193,0.00206277407143188
"AT1G62750",1264.80745773512,-1.2051677417922,0.221164433652396,-5.44919326263082,5.05988073842864e-08,8.35742801512049e-07
"AT1G68010",1421.96294382562,-1.14304919311831,0.286114696739173,-3.99507332599672,6.46742331862942e-05,0.000634091048474055
"AT1G01200",9.43066570124704,-6.72676032353008,2.60630601704517,-2.58095568192578,0.00985272293214413,0.0465506311271011
"AT1G54730",56.1165989185546,-2.54409826994163,0.920584393423685,-2.7635687592748,0.00571730450060449,0.0298120254408202
"AT1G56200",445.288168471504,-1.32369922562637,0.431505473520728,-3.06763020831713,0.00215763437937998,0.0132325804659443
"AT1G24530",189.958146360776,-1.81003330025524,0.696047165185882,-2.60044633580523,0.00931025794954248,0.0442598852973344
"AT1G59840",78.2425330949677,-3.58196684732331,1.0263342946033,-3.49005861555841,0.000482914613607301,0.00367977138075079
"AT1G75460",316.205849966232,-1.42357899617432,0.551494839153585,-2.58130973330446,0.00984262301025699,0.0465506311271011
"AT1G29660",26.4178525635864,-4.02770170599236,1.13572020914254,-3.54638552133651,0.000390554390162108,0.00309357387520776
"AT1G63080",11.2433195742358,-6.98953905646482,2.31924573565254,-3.01371215176483,0.00258072534100888,0.0153732962424443
"AT1G08550",400.545362425721,-1.18182513237716,0.432237538645028,-2.73420290167746,0.00625314981280349,0.0318631139453458
"AT1G12020",56.3989230921547,-4.1726760327444,0.960361739918835,-4.34490032172362,1.39338919841286e-05,0.000161699896199049
"AT1G76890",344.120691563076,-2.1600040770638,0.396907425563294,-5.44208532757559,5.26604388307497e-08,8.60021885848255e-07
"AT1G19510",67.7927786795328,-9.57817170955172,1.44190000653509,-6.64274337065039,3.07897671590946e-11,7.24743750052534e-10
"AT1G55280",17.4194840003212,-6.46383604938141,2.30836760750473,-2.80017620606304,0.00510747184777368,0.0271681988316159
"AT1G21840",16.6830183615933,-7.56126992516264,2.12773760505374,-3.55366653632635,0.000379900581739671,0.00303398623933303
"AT1G79260",20.0055725798989,-5.29602273053232,1.60206075177713,-3.30575649185435,0.000947203665146491,0.00645608688061161
"AT1G53730",145.253383586718,-1.62364084263114,0.582050435459565,-2.78951916142657,0.00527863727708775,0.0279762963801168
"AT1G64583",8.76256192038813,-6.62242141934349,2.53065119027569,-2.61688432004809,0.00887364082972561,0.0425671186336838
"AT1G10810",20.0860554096471,-5.48828062053295,1.82517577251989,-3.00698743823214,0.00263850665872216,0.0156533446059292
"AT1G67690",56.0574868214995,-2.09599720823202,0.778790050826036,-2.69135077677079,0.00711633264972372,0.0356675500219773
"AT1G43670",424.082329107846,-1.10325675841945,0.416667018598006,-2.64781398376975,0.00810140890160697,0.0394485689731515
"AT1G20670",187.762879714428,-1.72673536224851,0.481206524072231,-3.58834570162503,0.000332782847592129,0.00270601325300788
"AT1G05590",56.1382246703074,-2.93371783280745,0.784683233976443,-3.73872883448855,0.000184953092584206,0.001600174524233
"AT1G69850",333.488916585272,-2.03118714301396,0.333958927129645,-6.08214656955536,1.18584086833626e-09,2.35306443976349e-08
"AT1G74880",170.10144451582,-2.04562627383812,0.706681914975397,-2.89469170002651,0.00379531088069996,0.0213403650487326
"AT1G60000",220.801266310973,-2.4982902662452,0.635529564940558,-3.9310370501471,8.45802351213167e-05,0.000798294621745674
"AT1G56220",2314.38702294489,-2.10070597672378,0.256647712384696,-8.18517319793985,2.71912302330678e-16,1.01339623445549e-14
"AT1G66840",174.692826775316,-2.04207323755343,0.729690539381932,-2.79854695564933,0.00513331051481332,0.027280683119858
"AT1G01140",418.141760784612,-1.67834276610611,0.445945614461753,-3.76355930337344,0.000167511979238228,0.001468270922842
"AT1G79720",62.0783059918653,-3.28432682913481,1.22704903282537,-2.67660602084695,0.00743720314138763,0.0368626590486169
"AT1G47670",196.343438831356,-1.37635907421642,0.489033451920275,-2.81444770048328,0.00488611274778964,0.0261281072332049
"AT1G52740",383.338221957358,-1.40860866672995,0.334056192589525,-4.21668179778603,2.47923425898627e-05,0.000267426122110319
"AT1G72645",97.9647055323157,-1.95914191468848,0.563919731021157,-3.47415032125375,0.000512473845054558,0.00386951030538598
"AT1G68660",149.09128615755,-1.38901069318738,0.512259800007959,-2.71153561760225,0.00669723454651771,0.0338588883943078
"AT1G12550",17.7444485756526,-5.81761538782115,1.83211567595313,-3.17535375313823,0.00149653936661906,0.00969997756691551
"AT1G25440",833.392051534225,-1.30399834533346,0.30067964537842,-4.33683611570152,1.44548317207942e-05,0.000167411138694617
"AT1G74960",333.186229909513,-1.23307147748472,0.449111481804183,-2.74557994494194,0.00604040485010061,0.0310786847774203
"AT1G17455",26.3490233285409,-4.45949134560231,1.28643724222456,-3.46654403279774,0.000527195376064503,0.00396009549927522
"AT1G09340",1266.91938027293,-1.14996351159362,0.261715479219189,-4.39394534486253,1.11311812165227e-05,0.000131005440471382
"AT1G08880",273.479423544605,-2.11042865198349,0.376781096997395,-5.60120629405695,2.12865220630023e-08,3.62932079983271e-07
"AT1G21710",33.8839561999936,-5.06231229468061,1.97442422913214,-2.56394356389444,0.0103490370602898,0.0484845297893031
"AT1G70280",354.956185229454,-1.34317351073636,0.316231668188479,-4.24743517444247,2.16231702101932e-05,0.000236310360154254
"AT1G76405",57.7822466437545,-3.67166115001017,1.34522543754277,-2.72940211175083,0.00634492831939062,0.0322459906022177
"AT1G12775",15.119646452497,-7.41743815856775,2.55280187628805,-2.90560666985768,0.00366541888639479,0.0207302970870616
"AT1G64450",14.4771530158414,-7.34609757049321,2.19278151371789,-3.3501274634689,0.000807743813335318,0.00568549943187837
"AT1G31650",205.648472686,-1.72072330810256,0.426267714238498,-4.03671976700494,5.42037497905376e-05,0.00054334586427963
"AT1G22220",22.4676981461964,-5.20168962658917,1.74530673286407,-2.98038707388307,0.00287884360228324,0.0168386284745219
"AT1G62780",314.186097301452,-1.71776666044461,0.635632286930089,-2.70245344008703,0.00688298236943613,0.0347074236738089
"AT1G61600",145.602003311196,-2.78990824531048,0.917706964880219,-3.04008616266154,0.00236510475789471,0.0141906285473683
"AT1G31770",82.2191538830577,-3.84037518117035,0.971039520993997,-3.95491130704874,7.65630494429091e-05,0.000734550444655237
"AT1G73655",402.733400004635,-1.70035099608382,0.371853910473208,-4.57263174648348,4.81636193355094e-06,6.0742577617495e-05
"AT1G23030",187.62501721244,-1.74583672058291,0.65542203834368,-2.66368327344442,0.00772902965139698,0.0380174098081405
"AT1G21360",9.61578800728764,-6.75508595024516,2.49560799351474,-2.70678967522119,0.0067937283478179,0.0342870977553935
"AT1G58030",276.531958955896,-1.31957034153736,0.344799593309616,-3.82706466928005,0.000129680453535256,0.0011725694507838
"AT1G12500",271.728144775809,-1.82022942954527,0.491600748186208,-3.70265797247282,0.000213352428433545,0.00182327939320031
"AT1G77580",125.178281806727,-1.73386464763863,0.529099185935622,-3.2770125030009,0.00104911723615605,0.0070760645139342
"AT1G52770",11.5425902859742,-7.03008957461606,2.3338533005325,-3.01222427862628,0.00259340911597527,0.0154015123598368
"AT1G61740",1280.52547249396,-1.86475507563414,0.301286125506956,-6.18931612763922,6.04257918258775e-10,1.25469840598447e-08
"AT1G76080",900.500473036417,-1.09268504243049,0.378515810977226,-2.88676195482951,0.00389228588989754,0.021780317770803
"AT1G25250",28.0334469929526,-7.25853004192007,1.60798138470089,-4.5140634779614,6.35971678444877e-06,7.88387918652135e-05
"AT1G54580",609.45418703165,-1.65002654660661,0.322331610206161,-5.11903423170711,3.07104221448972e-07,4.64974985287584e-06
"AT1G25375",28.1334767571687,-4.46456494069164,1.66331905453515,-2.68413022054831,0.00727187762842026,0.0361975141537974
"AT1G78550",14.4296129678277,-4.59977063734259,1.72776935905706,-2.66225964318116,0.00776179809868692,0.0381463179592272
"AT1G72640",150.977506561839,-1.49963967461541,0.541881577004561,-2.76746753950409,0.00564936710949217,0.0294842193667751
"AT1G27480",210.01363109455,-1.18836021993237,0.458175446297509,-2.59367940716912,0.00949549834550548,0.0450300386466304
