# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "plants/references/Arabidopsis_thaliana.TAIR10.59.gtf" "-o" "plants/counts/counts.txt" "plants/alignments/IGV/SRR12808497_Aligned.sortedByCoord.out.bam" "plants/alignments/IGV/SRR12808498_Aligned.sortedByCoord.out.bam" "plants/alignments/IGV/SRR12808499_Aligned.sortedByCoord.out.bam" "plants/alignments/IGV/SRR12808527_Aligned.sortedByCoord.out.bam" "plants/alignments/IGV/SRR12808528_Aligned.sortedByCoord.out.bam" "plants/alignments/IGV/SRR12808529_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	plants/alignments/IGV/SRR12808497_Aligned.sortedByCoord.out.bam	plants/alignments/IGV/SRR12808498_Aligned.sortedByCoord.out.bam	plants/alignments/IGV/SRR12808499_Aligned.sortedByCoord.out.bam	plants/alignments/IGV/SRR12808527_Aligned.sortedByCoord.out.bam	plants/alignments/IGV/SRR12808528_Aligned.sortedByCoord.out.bam	plants/alignments/IGV/SRR12808529_Aligned.sortedByCoord.out.bam
AT1G30814	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	10942648;10942648;10942648;10942663;10943007;10943007;10943007;10943007;10943154;10943154;10943154;10943301;10943644;10943644;10943644;10943644;10943868;10943868;10943868;10943868;10944078;10944078;10944078;10944078;10944317;10944317;10944317	10942909;10942909;10942909;10942909;10943060;10943060;10943561;10943060;10943561;10943255;10943561;10943561;10943750;10943750;10943750;10943750;10943984;10943984;10943984;10943984;10944282;10944229;10944229;10944229;10944727;10944727;10944727	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1657	0	0	0	0	0	0
AT1G78930	1;1;1;1;1;1;1	29677904;29678707;29679017;29679327;29679538;29679877;29680106	29678618;29678924;29679199;29679440;29679783;29680014;29680757	-;-;-;-;-;-;-	2266	306	0	38	1	53	2
AT1G71695	1;1;1	26964087;26965591;26965943	26964625;26965785;26966688	+;+;+	1480	641	437	444	360	437	325
AT1G58983	1;1	21805932;21806783	21806440;21807496	-;-	1223	0	0	0	0	0	0
AT1G12980	1	4429718	4430965	+	1248	0	0	0	0	0	0
AT1G45223	1	17141192	17141771	+	580	0	0	0	0	0	0
AT1G56250	1;1;1	21061522;21062380;21062593	21062223;21062498;21063047	-;-;-	1276	3778	400	681	0	0	0
AT1G66852	1	24938500	24938832	-	333	0	0	0	0	0	0
AT1G69810	1;1;1;1;1;1;1;1	26276948;26276948;26277773;26277773;26277988;26277988;26279051;26279051	26277684;26277684;26277886;26277886;26278871;26278524;26279255;26279255	-;-;-;-;-;-;-;-	1940	0	0	2	0	0	0
AT1G72450	1;1;1;1;1;1;1	27273968;27274065;27275065;27275544;27275544;27275983;27275983	27274540;27275391;27275391;27275667;27275667;27276562;27276317	-;-;-;-;-;-;-	2128	2351	568	712	219	233	67
AT1G76280	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	28617577;28617577;28617577;28617577;28617902;28618422;28618422;28618422;28618422;28618775;28618775;28618775;28618775;28619051;28619051;28619051;28619051;28619051;28619377;28619377;28619377;28619377;28619377;28619987;28619987;28619987;28619987;28619987;28620268;28620268;28620268;28620268;28620706;28620706;28620706;28620706;28620706;28621403;28621403;28621403;28621403;28621403;28621673;28621673;28621673;28621673;28621673;28621955;28621955;28621955;28621955;28621955;28622259;28622259;28622259;28622259;28622259;28622409;28622409;28622409;28622409;28622409;28622568;28622568;28622568;28622568;28622568	28618340;28618340;28618541;28618340;28618340;28618541;28618541;28618541;28618963;28618963;28618963;28618963;28618963;28619194;28619194;28619194;28619194;28619194;28619604;28619604;28619604;28619604;28619604;28620160;28620160;28620160;28620160;28620160;28620363;28620363;28620363;28620363;28621149;28621149;28621149;28621149;28621149;28621585;28621585;28621585;28621585;28621585;28621780;28621768;28621780;28621780;28621780;28622142;28622142;28622142;28622142;28622142;28622328;28622328;28622328;28622328;28622328;28622475;28622475;28622475;28622475;28622475;28622777;28622601;28622777;28622777;28622777	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3299	358	39	85	239	150	76
AT1G65630	1;1;1;1;1;1;1;1	24406461;24406903;24407037;24407320;24407516;24407911;24408347;24408696	24406793;24406953;24407210;24407447;24407775;24408106;24408592;24409068	-;-;-;-;-;-;-;-	1761	0	0	0	0	0	0
AT1G71390	1;1	26906401;26906453	26908975;26908905	+;+	2575	0	0	0	0	0	0
AT1G56233	1;1	21050540;21050939	21050795;21051017	-;-	335	0	0	0	0	1	0
AT1G15210	1;1;1;1;1;1;1;1;1	5231345;5232568;5233493;5233690;5233834;5234080;5235039;5235527;5235742	5232479;5233409;5233599;5233761;5233987;5234949;5235431;5235657;5236886	-;-;-;-;-;-;-;-;-	4849	9	11	6	5	7	5
AT1G15250	1;1;1;1;1;1;1;1;1	5248664;5248664;5248961;5248961;5249169;5249169;5249379;5249379;5249666	5248871;5248871;5249062;5249062;5249304;5249304;5249558;5249563;5249676	-;-;-;-;-;-;-;-;-	642	324	46	47	28	84	8
AT1G79700	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	29990336;29990336;29990440;29990440;29991804;29991804;29991804;29991834;29991955;29991955;29991955;29991955;29992089;29992089;29992089;29992089;29992638;29992638;29992638;29992638;29992868;29993080;29993080;29993080;29993322;29993322;29993486;29993486;29993486	29990825;29990825;29990825;29990825;29991880;29991880;29991880;29991880;29992005;29992005;29992005;29992005;29992162;29992162;29992162;29992162;29992726;29992726;29992726;29992726;29993058;29993088;29993404;29993088;29993404;29993404;29993724;29993766;29993724	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1578	164	4	25	332	318	135
AT1G62895	1;1;1;1;1	23295989;23296187;23296433;23296633;23296826	23296018;23296288;23296489;23296671;23296858	+;+;+;+;+	261	0	0	0	0	0	0
AT1G73360	1;1;1;1;1;1;1;1;1;1	27578421;27579369;27579545;27579882;27580139;27580432;27580621;27581190;27581481;27581675	27579291;27579458;27579804;27580062;27580339;27580533;27581103;27581378;27581598;27582685	-;-;-;-;-;-;-;-;-;-	3506	15	4	1	3	14	20
AT1G16360	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	5593270;5593301;5593301;5593301;5593301;5593672;5593672;5593672;5594097;5594097;5594097;5594524;5594524;5594524;5594524;5594524;5594697;5594697;5594697;5594697;5594697;5594902;5594902;5594902;5594902;5594902;5595075;5595075;5595075;5595075;5595075;5595706	5593550;5593550;5594394;5593550;5593961;5593961;5594394;5593961;5594394;5594394;5594394;5594594;5594594;5594594;5594594;5594594;5594810;5594810;5594810;5594810;5594810;5594976;5594976;5594976;5594976;5594976;5595133;5595179;5595223;5595179;5595179;5595814	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1643	0	0	0	0	0	0
AT1G10225	1;1	3354243;3354361	3354281;3354856	+;+	535	0	0	0	0	0	0
